yearstart,yearend,nameofwar,country
1990,0,DHKP/C insurgency in Turkey,Turkey
1991,2002,Sierra Leone Civil War,Sierra Leone 
1991,2002,Sierra Leone Civil War,Kamajors
1991,2002,Sierra Leone Civil War,South Africa
1991,2002,Sierra Leone Civil War,Nigeria
1991,2002,Sierra Leone Civil War,UK
1991,2002,Sierra Leone Civil War,Liberia
1991,2002,Algerian Civil War,Algerian
1991,0,Somali Civil War,Ethiopia
1991,0,Somali Civil War,
1991,0,Somali Civil War,Somali
1993,2005,Burundian Civil War,Burundian 
1993,0,Ethnic Conflict in Nagaland,India
1993,0,Ethnic Conflict in Nagaland,Burma
1994,0,Armenia-Azerbaijan border conflict,Armenia
1994,0,Armenia-Azerbaijan border conflict,Russia
1994,0,Armenia-Azerbaijan border conflict,Turkey
1994,0,Chiapas conflict,Mexico
1994,1999,Caprivi conflict,Namibia
1994,2018,Insurgency in Ogaden,Ethiopia
1996,0,ADF insurgency,Uganda
1996,0,ADF insurgency,Congo
1996,2006,Nepalese Civil War  ,Nepal
1996,2001,Civil war in Afghanistan ,Afghanistan
1996,2001,Civil war in Afghanistan ,US
1996,2001,Civil war in Afghanistan ,UK
1996,2001,Civil war in Afghanistan ,Canada
1996,2001,Civil war in Afghanistan ,Australia
1997,1999,Republic of Congo Civil War,Congo
1997,1999,Republic of Congo Civil War,Angola
1998,2000,Eritrean-ethiopian War,Ethiopia
1998,2000,Eritrean-ethiopian War,Eritrea
1998,2003,Second Congo War,Congo
1998,2003,Second Congo War,Angola
1998,2003,Second Congo War,Chad
1998,2003,Second Congo War,Namibia
1998,2003,Second Congo War,Zimbabwe
1998,2003,Second Congo War,Sudan
1998,0,Al-Qaeda insurgency in Yemen,Yemen
1999,2000,1999 East Timorese crisis,East Timor
1999,2000,Insurgency in the Presevo Valley,Yugoslavia
1999,2003,Second Liberian Civil War,Guinea
1999,2003,Second Liberian Civil War,Liberia
1999,2007,Ituri conflict,Uganda
1999,2007,Ituri conflict,Congo
2000,2000,Six-Day War,Rwanda
2000,2000,Six-Day War,Uganda
2000,2005,Second Intifada,Israel
2000,2005,Second Intifada,Palestine
2001,2001,2001 bangladesh-India border clashes,Bangladesh
2001,2001,2002 bangladesh-India border clashes,India
2001,2001,Insurgency in the Republic of Macedonia,Macedonia
2001,0,War on Terror,US
2001,0,War on Terror,UK
2001,0,War on Terror,France
2001,0,War on Terror,Rusia
2002,2015,Operation Enduring Freedom-Philippines,Philippines
2002,2015,Operation Enduring Freedom-Philippines,US
2002,2007,First Ivorian Civil War,Ivory Coast
2002,2007,First Ivorian Civil War,France
2002,2007,First Ivorian Civil War,Liberia
2002,2021,Taliban insurgency ,Afghanistan 
